AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:27L - DEP:27L;0,302895322939866
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:09R - DEP:09R;0,0859688195991091
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:09L - DEP:09R;0,0752783964365256
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2020;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2016;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2017;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2018;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2019;ARR:09 - DEP:09;0,329640918890789
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2019;ARR:27 - DEP:27;0,669764329789607
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2020;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2016;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2017;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2018;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2019;ARR:26 - DEP:26;0,946934845404943
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2020;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2016;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2017;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2018;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:15 - DEP:22L;0,0788860103626943
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:22L - ARR:22R - DEP:22R;0,0484455958549223
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:15 - DEP:22R;0,157124352331606
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:04L - DEP:04R;0,235621761658031
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:22L - DEP:22R;0,251683937823834
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:04L - ARR:04R - DEP:04R;0,0569948186528497
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2020;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2016;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2017;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2018;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:15 - DEP:33;0,0328902018709995
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:33 - DEP:33;0,488823239783358
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:15 - DEP:15;0,457557853274249
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2020;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2016;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2017;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2018;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:05L - DEP:05L;0,0572013357750727
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:05R - DEP:05L;0,128406765054401
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:23R - DEP:23R;0,294678444468383
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:23R - DEP:23L;0,502100614025638
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2020;;
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2016;;
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2017;;
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2018;;
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2019;ARR:27 - DEP:27;0,690396983810157
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2019;ARR:09 - DEP:09;0,307385229540918
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2020;;
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2016;;
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2017;;
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2018;;
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2019;ARR:08 - DEP:08;0,286479627802058
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2019;ARR:26 - DEP:26;0,713426382818741
EGGW;EGGW;LTN;London - Luton;United Kingdom;London - Luton (EGGW);London - Luton (LTN);2020;;
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2016;;
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2017;;
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2018;;
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2019;ARR:08R - DEP:08R;0,311060670544285
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2019;ARR:26L - DEP:26L;0,68544001513217
EGKK;EGKK;LGW;London - Gatwick;United Kingdom;London - Gatwick (EGKK);London - Gatwick (LGW);2020;;
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2016;;
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2017;;
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2018;;
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2019;ARR:09 - DEP:09;0,312651856994099
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2019;ARR:27 - DEP:27;0,685699409927109
EGLC;EGLC;LCY;London - City;United Kingdom;London - City (EGLC);London - City (LCY);2020;;
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2016;;
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2017;;
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2018;;
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2019;ARR:09L - DEP:09R;0,25343258891646
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2019;ARR:27L - DEP:27R;0,360904328646264
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2019;ARR:27R - DEP:27L;0,349434794596085
EGLL;EGLL;LHR;London - Heathrow;United Kingdom;London - Heathrow (EGLL);London - Heathrow (LHR);2020;;
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2016;;
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2017;;
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2018;;
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2019;ARR:07 - DEP:07;0,272756890597511
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2019;ARR:25 - DEP:25;0,724701896136053
EGNT;EGNT;NCL;Newcastle;United Kingdom;Newcastle (EGNT);Newcastle (NCL);2020;;
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2016;;
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2017;;
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2018;;
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2019;ARR:16 - DEP:16;0,548314735994478
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2019;ARR:34 - DEP:34;0,44852179914874
EGPD;EGPD;ABZ;Aberdeen;United Kingdom;Aberdeen (EGPD);Aberdeen (ABZ);2020;;
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2016;;
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2017;;
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2018;;
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2019;ARR:23 - DEP:23;0,731701161029783
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2019;ARR:05 - DEP:05;0,267844522968198
EGPF;EGPF;GLA;Glasgow;United Kingdom;Glasgow (EGPF);Glasgow (GLA);2020;;
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2016;;
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2017;;
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2018;;
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2019;ARR:06 - DEP:06;0,318962264150943
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2019;ARR:24 - DEP:24;0,681037735849057
EGPH;EGPH;EDI;Edinburgh;United Kingdom;Edinburgh (EGPH);Edinburgh (EDI);2020;;
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2016;;
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2017;;
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2018;;
EGSS;EGSS;STN;London - Stansted;United Kingdom;London - Stansted (EGSS);London - Stansted (STN);2019;ARR:04 - DEP:04;0,288730677329692
